city,latitude,longitude,elevation,longitude_numeric,latitude_numeric,elevation_numeric
Accra,5°33'N,0°12'W,22 m,-0.2,5.55,22.0
Frankfurt,50°07'N,8°41'E,107 m,8.683,50.117,107.0
New Delhi,28°37'N,77°13'E,215 m,77.217,28.617,215.0
Addis Ababa,9°01'N,38°45'E,2354 m,38.75,9.017,2354.0
Guatemala City,14°37'N,90°32'W,1533 m,-90.533,14.617,1533.0
New Orleans,29°57'N,90°04'W,1 m,-90.067,29.95,1.0
Adelaide,34°56'S,138°36'E,62 m,138.6,-34.933,62.0
Halifax,44°39'N,63°35'W,11 m,-63.583,44.65,11.0
New York,40°43'N,74°01'W,8 m,-74.017,40.717,8.0
Algiers,36°46'N,3°03'E,44 m,3.05,36.767,44.0
Hanoi,21°02'N,105°51'E,20 m,105.85,21.033,20.0
Oslo,59°55'N,10°44'E,11 m,10.733,59.917,11.0
Almaty,43°15'N,76°55'E,790 m,76.917,43.25,790.0
Harare,17°50'S,31°03'E,1490 m,31.05,-17.833,1490.0
Ottawa,45°25'N,75°42'W,76 m,-75.7,45.417,76.0
Amman,31°57'N,35°55'E,816 m,35.917,31.95,816.0
Havana,23°08'N,82°22'W,18 m,-82.367,23.133,18.0
Paris,48°51'N,2°21'E,39 m,2.35,48.85,39.0
Amsterdam,52°22'N,4°54'E,13 m,4.9,52.367,13.0
Helsinki,60°10'N,24°57'E,8 m,24.95,60.167,8.0
Perth,31°57'S,115°51'E,50 m,115.85,-31.95,50.0
Anadyr,64°44'N,177°31'E,43 m,177.517,64.733,43.0
Hong Kong,22°19'N,114°11'E,55 m,114.183,22.317,55.0
Philadelphia,39°57'N,75°10'W,12 m,-75.167,39.95,12.0
Anchorage,61°11'N,149°53'W,31 m,-149.883,61.183,31.0
Honolulu,21°19'N,157°51'W,11 m,-157.85,21.317,11.0
Phoenix,33°27'N,112°04'W,330 m,-112.067,33.45,330.0
Ankara,39°55'N,32°51'E,871 m,32.85,39.917,871.0
Houston,29°45'N,95°22'W,15 m,-95.367,29.75,15.0
Prague,50°05'N,14°25'E,201 m,14.417,50.083,201.0
Antananarivo,18°55'S,47°32'E,1287 m,47.533,-18.917,1287.0
Indianapolis,39°46'N,86°09'W,217 m,-86.15,39.767,217.0
Reykjavik,64°09'N,21°57'W,15 m,-21.95,64.15,15.0
Asuncion,25°17'S,57°38'W,102 m,-57.633,-25.283,102.0
Islamabad,33°43'N,73°04'E,554 m,73.067,33.717,554.0
Rio de Janeiro,22°58'S,43°11'W,27 m,-43.183,-22.967,27.0
Athens,37°59'N,23°44'E,69 m,23.733,37.983,69.0
Istanbul,41°01'N,28°58'E,48 m,28.967,41.017,48.0
Riyadh,24°38'N,46°43'E,590 m,46.717,24.633,590.0
Atlanta,33°46'N,84°23'W,313 m,-84.383,33.767,313.0
Jakarta,6°09'S,106°49'E,4 m,106.817,-6.15,4.0
Rome,41°54'N,12°29'E,37 m,12.483,41.9,37.0
Auckland,36°51'S,174°46'E,48 m,174.767,-36.85,48.0
Jerusalem,31°47'N,35°13'E,769 m,35.217,31.783,769.0
Salt Lake City,40°46'N,111°53'W,1312 m,-111.883,40.767,1312.0
Bangkok,13°44'N,100°30'E,9 m,100.5,13.733,9.0
Johannesburg,26°12'S,28°03'E,1754 m,28.05,-26.2,1754.0
San Francisco,37°47'N,122°25'W,20 m,-122.417,37.783,20.0
Barcelona,41°23'N,2°11'E,25 m,2.183,41.383,25.0
Karachi,24°52'N,67°02'E,18 m,67.033,24.867,18.0
San Juan,18°28'N,66°07'W,33 m,-66.117,18.467,33.0
Beijing,39°55'N,116°23'E,62 m,116.383,39.917,62.0
Kathmandu,27°43'N,85°19'E,1305 m,85.317,27.717,1305.0
San Salvador,13°42'N,89°12'W,667 m,-89.2,13.7,667.0
Beirut,33°53'N,35°29'E,86 m,35.483,33.883,86.0
Kingston,18°00'N,76°47'W,68 m,-76.783,18.0,68.0
Santiago,33°26'S,70°39'W,576 m,-70.65,-33.433,576.0
Belgrade,44°49'N,20°27'E,131 m,20.45,44.817,131.0
Kinshasa,4°19'S,15°19'E,280 m,15.317,-4.317,280.0
Santo Domingo,18°28'N,69°56'W,63 m,-69.933,18.467,63.0
Bengaluru,12°58'N,77°34'E,876 m,77.567,12.967,876.0
Kiritimati,1°52'N,157°20'W,0 m,-157.333,1.867,0.0
São Paulo,23°33'S,46°38'W,765 m,-46.633,-23.55,765.0
Berlin,52°31'N,13°23'E,32 m,13.383,52.517,32.0
Kolkata,22°35'N,88°21'E,18 m,88.35,22.583,18.0
Seattle,47°37'N,122°21'W,41 m,-122.35,47.617,41.0
Bogota,4°36'N,74°05'W,2618 m,-74.083,4.6,2618.0
Kuala Lumpur,3°09'N,101°42'E,33 m,101.7,3.15,33.0
Seoul,37°34'N,126°59'E,38 m,126.983,37.567,38.0
Boston,42°21'N,71°03'W,6 m,-71.05,42.35,6.0
Kuwait City,29°23'N,47°58'E,11 m,47.967,29.383,11.0
Shanghai,31°14'N,121°29'E,12 m,121.483,31.233,12.0
Brasilia,15°48'S,47°53'W,1091 m,-47.883,-15.8,1091.0
Kyiv,50°26'N,30°31'E,152 m,30.517,50.433,152.0
Singapore,1°17'N,103°51'E,93 m,103.85,1.283,93.0
Brisbane,27°28'S,153°02'E,28 m,153.033,-27.467,28.0
La Paz,16°30'S,68°08'W,3606 m,-68.133,-16.5,3606.0
Sofia,42°42'N,23°19'E,551 m,23.317,42.7,551.0
Brussels,50°51'N,4°21'E,30 m,4.35,50.85,30.0
Lagos,6°27'N,3°21'E,7 m,3.35,6.45,7.0
St. John's,47°34'N,52°43'W,12 m,-52.717,47.567,12.0
Bucharest,44°26'N,26°06'E,87 m,26.1,44.433,87.0
Lahore,31°35'N,74°18'E,214 m,74.3,31.583,214.0
Stockholm,59°20'N,18°04'E,3 m,18.067,59.333,3.0
Budapest,47°30'N,19°03'E,118 m,19.05,47.5,118.0
Las Vegas,36°08'N,115°10'W,629 m,-115.167,36.133,629.0
Suva,18°08'S,178°26'E,8 m,178.433,-18.133,8.0
Buenos Aires,34°37'S,58°23'W,34 m,-58.383,-34.617,34.0
Lima,12°03'S,77°02'W,147 m,-77.033,-12.05,147.0
Sydney,33°52'S,151°12'E,66 m,151.2,-33.867,66.0
Cairo,30°03'N,31°14'E,22 m,31.233,30.05,22.0
Lisbon,38°44'N,9°09'W,89 m,-9.15,38.733,89.0
Taipei,25°04'N,121°31'E,12 m,121.517,25.067,12.0
Calgary,51°03'N,114°04'W,1063 m,-114.067,51.05,1063.0
Tallinn,59°26'N,24°45'E,28 m,24.75,59.433,28.0
