month,date,time,temp_low,temp_high,wind
2015-06,"Tue, Jun 2",12 am,Lo:50,Hi:52,8
2015-06,"Wed, Jun 3",12 am,Lo:52,Hi:54,5
2015-06,"Thu, Jun 4",12 am,Lo:55,Hi:55,6
2015-06,"Fri, Jun 5",12 am,Lo:55,Hi:57,6
2015-06,"Sat, Jun 6",12 am,Lo:61,Hi:63,1
2015-06,"Sat, Jun 6",12 am,Lo:61,Hi:63,1
2015-06,"Sun, Jun 7",12 am,Lo:55,Hi:61,2
2015-06,"Mon, Jun 8",12 am,Lo:63,Hi:64,2
2015-06,"Tue, Jun 9",12 am,Lo:68,Hi:70,3
2015-06,"Wed, Jun 10",12 am,Lo:66,Hi:72,3
2015-06,"Thu, Jun 11",12 am,Lo:72,Hi:73,4
2015-06,"Fri, Jun 12",12 am,Lo:75,Hi:82,3
2015-06,"Sat, Jun 13",12 am,Lo:79,Hi:82,4
2015-06,"Sun, Jun 14",12 am,Lo:72,Hi:73,0
2015-06,"Mon, Jun 15",12 am,Lo:66,Hi:68,3
2015-06,"Tue, Jun 16",12 am,Lo:64,Hi:66,3
2015-06,"Wed, Jun 17",12 am,Lo:70,Hi:73,3
2015-06,"Thu, Jun 18",12 am,Lo:64,Hi:66,1
2015-06,"Fri, Jun 19",12 am,Lo:66,Hi:70,3
2015-06,"Sat, Jun 20",12 am,Lo:68,Hi:73,8
2015-06,"Sun, Jun 21",12 am,Lo:72,Hi:73,4
2015-06,"Mon, Jun 22",12 am,Lo:72,Hi:73,5
2015-06,"Tue, Jun 23",12 am,Lo:75,Hi:79,6
2015-06,"Wed, Jun 24",12 am,Lo:68,Hi:77,6
2015-06,"Thu, Jun 25",12 am,Lo:66,Hi:73,2
2015-06,"Fri, Jun 26",12 am,Lo:72,Hi:73,0
2015-06,"Sat, Jun 27",12 am,Lo:68,Hi:70,2
2015-06,"Sun, Jun 28",12 am,Lo:63,Hi:64,11
2015-06,"Mon, Jun 29",12 am,Lo:63,Hi:70,4
2015-06,"Tue, Jun 30",12 am,Lo:68,Hi:72,3
2015-07,"Thu, Jul 2",12 am,Lo:70,Hi:75,0
2015-07,"Fri, Jul 3",12 am,Lo:66,Hi:72,2
2015-07,"Sat, Jul 4",12 am,Lo:70,Hi:72,2
2015-07,"Sun, Jul 5",12 am,Lo:70,Hi:70,0
2015-07,"Mon, Jul 6",12 am,Lo:72,Hi:73,2
2015-07,"Mon, Jul 6",12 am,Lo:72,Hi:73,2
2015-07,"Tue, Jul 7",12 am,Lo:75,Hi:75,2
2015-07,"Wed, Jul 8",12 am,Lo:79,Hi:81,6
2015-07,"Thu, Jul 9",12 am,Lo:73,Hi:79,6
2015-07,"Fri, Jul 10",12 am,Lo:72,Hi:73,6
2015-07,"Sat, Jul 11",12 am,Lo:70,Hi:75,1
2015-07,"Sun, Jul 12",12 am,Lo:73,Hi:77,1
2015-07,"Mon, Jul 13",12 am,Lo:75,Hi:77,1
2015-07,"Tue, Jul 14",12 am,Lo:73,Hi:75,1
2015-07,"Wed, Jul 15",12 am,Lo:75,Hi:75,0
2015-07,"Thu, Jul 16",12 am,Lo:64,Hi:73,9
2015-07,"Fri, Jul 17",12 am,Lo:66,Hi:70,4
2015-07,"Sat, Jul 18",12 am,Lo:73,Hi:73,5
2015-07,"Sun, Jul 19",12 am,Lo:79,Hi:81,1
2015-07,"Mon, Jul 20",12 am,Lo:82,Hi:86,5
2015-07,"Tue, Jul 21",12 am,Lo:82,Hi:84,2
2015-07,"Wed, Jul 22",12 am,Lo:70,Hi:75,4
2015-07,"Thu, Jul 23",12 am,Lo:68,Hi:73,2
2015-07,"Fri, Jul 24",12 am,Lo:70,Hi:75,1
2015-07,"Sat, Jul 25",12 am,Lo:70,Hi:77,3
2015-07,"Sun, Jul 26",12 am,Lo:73,Hi:77,4
2015-07,"Mon, Jul 27",12 am,Lo:72,Hi:79,2
2015-07,"Tue, Jul 28",12 am,Lo:75,Hi:77,4
2015-07,"Wed, Jul 29",12 am,Lo:79,Hi:81,2
2015-07,"Thu, Jul 30",12 am,Lo:79,Hi:82,6
2015-07,"Mon, Jul 27",12 am,Lo:72,Hi:79,2
2015-07,"Tue, Jul 28",12 am,Lo:75,Hi:77,4
2015-07,"Wed, Jul 29",12 am,Lo:79,Hi:81,2
2015-07,"Thu, Jul 30",12 am,Lo:79,Hi:82,6
2015-07,"Fri, Jul 31",12 am,Lo:73,Hi:77,3
2015-08,"Sun, Aug 2",12 am,Lo:72,Hi:77,1
2015-08,"Mon, Aug 3",12 am,Lo:75,Hi:79,4
2015-08,"Tue, Aug 4",12 am,Lo:70,Hi:81,6
2015-08,"Wed, Aug 5",12 am,Lo:73,Hi:75,1
2015-08,"Thu, Aug 6",12 am,Lo:68,Hi:73,2
2015-08,"Thu, Aug 6",12 am,Lo:68,Hi:73,2
2015-08,"Fri, Aug 7",12 am,Lo:70,Hi:75,3
2015-08,"Sat, Aug 8",12 am,Lo:68,Hi:72,2
2015-08,"Sun, Aug 9",12 am,Lo:68,Hi:73,1
2015-08,"Mon, Aug 10",12 am,Lo:70,Hi:72,1
2015-08,"Tue, Aug 11",12 am,Lo:73,Hi:75,4
2015-08,"Wed, Aug 12",12 am,Lo:72,Hi:75,2
2015-08,"Thu, Aug 13",12 am,Lo:68,Hi:73,4
2015-08,"Fri, Aug 14",12 am,Lo:66,Hi:73,1
2015-08,"Sat, Aug 15",12 am,Lo:73,Hi:77,4
2015-08,"Sun, Aug 16",12 am,Lo:75,Hi:81,2
2015-08,"Mon, Aug 17",12 am,Lo:79,Hi:82,4
2015-08,"Tue, Aug 18",12 am,Lo:73,Hi:81,5
2015-08,"Wed, Aug 19",12 am,Lo:77,Hi:79,2
2015-08,"Thu, Aug 20",12 am,Lo:79,Hi:79,2
2015-08,"Fri, Aug 21",12 am,Lo:73,Hi:77,5
2015-08,"Sat, Aug 22",12 am,Lo:70,Hi:73,4
2015-08,"Sun, Aug 23",12 am,Lo:70,Hi:72,2
2015-08,"Mon, Aug 24",12 am,Lo:73,Hi:75,1
2015-08,"Tue, Aug 25",12 am,Lo:77,Hi:79,2
2015-08,"Wed, Aug 26",12 am,Lo:68,Hi:73,4
2015-08,"Thu, Aug 27",12 am,Lo:66,Hi:72,2
2015-08,"Fri, Aug 28",12 am,Lo:64,Hi:70,2
2015-08,"Sat, Aug 29",12 am,Lo:68,Hi:70,1
2015-08,"Sun, Aug 30",12 am,Lo:73,Hi:75,4
2015-08,"Thu, Aug 27",12 am,Lo:66,Hi:72,2
2015-08,"Fri, Aug 28",12 am,Lo:64,Hi:70,2
2015-08,"Sat, Aug 29",12 am,Lo:68,Hi:70,1
2015-08,"Sun, Aug 30",12 am,Lo:73,Hi:75,4
2015-08,"Mon, Aug 31",12 am,Lo:75,Hi:79,4
2015-09,"Wed, Sep 2",12 am,Lo:73,Hi:77,1
2015-09,"Thu, Sep 3",12 am,Lo:75,Hi:79,0
2015-09,"Fri, Sep 4",12 am,Lo:77,Hi:81,4
2015-09,"Sat, Sep 5",12 am,Lo:68,Hi:73,7
2015-09,"Sun, Sep 6",12 am,Lo:66,Hi:70,1
2015-09,"Sun, Sep 6",12 am,Lo:66,Hi:70,1
2015-09,"Mon, Sep 7",12 am,Lo:70,Hi:72,6
2015-09,"Tue, Sep 8",12 am,Lo:77,Hi:81,6
2015-09,"Wed, Sep 9",12 am,Lo:77,Hi:81,5
2015-09,"Thu, Sep 10",12 am,Lo:72,Hi:81,4
2015-09,"Fri, Sep 11",12 am,Lo:66,Hi:70,7
2015-09,"Sat, Sep 12",12 am,Lo:70,Hi:73,1
2015-09,"Sun, Sep 13",12 am,Lo:70,Hi:72,5
2015-09,"Mon, Sep 14",12 am,Lo:59,Hi:63,6
2015-09,"Tue, Sep 15",12 am,Lo:63,Hi:66,4
2015-09,"Wed, Sep 16",12 am,Lo:66,Hi:73,1
