year,full_date,temp_high,temp_low,wind
2015,2015-06-02,52,50,8
2015,2015-06-03,54,52,5
2015,2015-06-04,55,55,6
2015,2015-06-05,57,55,6
2015,2015-06-06,63,61,1
2015,2015-06-07,61,55,2
2015,2015-06-08,64,63,2
2015,2015-06-09,70,68,3
2015,2015-06-10,72,66,3
2015,2015-06-11,73,72,4
2015,2015-06-12,82,75,3
2015,2015-06-13,82,79,4
2015,2015-06-14,73,72,0
2015,2015-06-15,68,66,3
2015,2015-06-16,66,64,3
2015,2015-06-17,73,70,3
2015,2015-06-18,66,64,1
2015,2015-06-19,70,66,3
2015,2015-06-20,73,68,8
2015,2015-06-21,73,72,4
2015,2015-06-22,73,72,5
2015,2015-06-23,79,75,6
2015,2015-06-24,77,68,6
2015,2015-06-25,73,66,2
2015,2015-06-26,73,72,0
2015,2015-06-27,70,68,2
2015,2015-06-28,64,63,11
2015,2015-06-29,70,63,4
2015,2015-06-30,72,68,3
2015,2015-07-02,75,70,0
2015,2015-07-03,72,66,2
2015,2015-07-04,72,70,2
2015,2015-07-05,70,70,0
2015,2015-07-06,73,72,2
2015,2015-07-07,75,75,2
2015,2015-07-08,81,79,6
2015,2015-07-09,79,73,6
2015,2015-07-10,73,72,6
2015,2015-07-11,75,70,1
2015,2015-07-12,77,73,1
2015,2015-07-13,77,75,1
2015,2015-07-14,75,73,1
2015,2015-07-15,75,75,0
2015,2015-07-16,73,64,9
2015,2015-07-17,70,66,4
2015,2015-07-18,73,73,5
2015,2015-07-19,81,79,1
2015,2015-07-20,86,82,5
2015,2015-07-21,84,82,2
2015,2015-07-22,75,70,4
2015,2015-07-23,73,68,2
2015,2015-07-24,75,70,1
2015,2015-07-25,77,70,3
2015,2015-07-26,77,73,4
2015,2015-07-27,79,72,2
2015,2015-07-28,77,75,4
2015,2015-07-29,81,79,2
2015,2015-07-30,82,79,6
2015,2015-07-31,77,73,3
2015,2015-08-02,77,72,1
2015,2015-08-03,79,75,4
2015,2015-08-04,81,70,6
2015,2015-08-05,75,73,1
2015,2015-08-06,73,68,2
2015,2015-08-07,75,70,3
2015,2015-08-08,72,68,2
2015,2015-08-09,73,68,1
2015,2015-08-10,72,70,1
2015,2015-08-11,75,73,4
2015,2015-08-12,75,72,2
2015,2015-08-13,73,68,4
2015,2015-08-14,73,66,1
2015,2015-08-15,77,73,4
2015,2015-08-16,81,75,2
2015,2015-08-17,82,79,4
2015,2015-08-18,81,73,5
2015,2015-08-19,79,77,2
2015,2015-08-20,79,79,2
2015,2015-08-21,77,73,5
2015,2015-08-22,73,70,4
2015,2015-08-23,72,70,2
2015,2015-08-24,75,73,1
2015,2015-08-25,79,77,2
2015,2015-08-26,73,68,4
2015,2015-08-27,72,66,2
2015,2015-08-28,70,64,2
2015,2015-08-29,70,68,1
2015,2015-08-30,75,73,4
2015,2015-08-31,79,75,4
2015,2015-09-02,77,73,1
2015,2015-09-03,79,75,0
2015,2015-09-04,81,77,4
2015,2015-09-05,73,68,7
2015,2015-09-06,70,66,1
2015,2015-09-07,72,70,6
2015,2015-09-08,81,77,6
2015,2015-09-09,81,77,5
2015,2015-09-10,81,72,4
2015,2015-09-11,70,66,7
2015,2015-09-12,73,70,1
2015,2015-09-13,72,70,5
2015,2015-09-14,63,59,6
2015,2015-09-15,66,63,4
2015,2015-09-16,73,66,1
2015,2015-09-17,73,70,0
2015,2015-09-18,73,70,1
2015,2015-09-19,72,70,1
2015,2015-09-20,75,73,3
2015,2015-09-21,64,61,9
2015,2015-09-22,66,63,7
2015,2015-09-23,66,61,4
2015,2015-09-24,64,61,1
2015,2015-09-25,68,64,6
2015,2015-09-26,66,63,5
2015,2015-09-27,61,57,6
2015,2015-09-28,66,64,2
2015,2015-09-29,73,72,1
2015,2015-09-30,75,73,5
2016,2016-06-02,66,63,4
2016,2016-06-03,64,64,2
2016,2016-06-04,68,66,0
2016,2016-06-05,66,66,1
2016,2016-06-06,66,66,4
2016,2016-06-07,75,72,4
2016,2016-06-08,64,61,6
2016,2016-06-09,57,54,6
2016,2016-06-10,63,57,6
2016,2016-06-11,63,61,1
2016,2016-06-12,82,79,6
2016,2016-06-13,63,57,9
2016,2016-06-14,64,59,3
2016,2016-06-15,66,63,2
2016,2016-06-16,75,68,1
2016,2016-06-17,70,64,1
2016,2016-06-18,63,63,2
2016,2016-06-19,72,68,1
2016,2016-06-20,66,64,1
2016,2016-06-21,79,75,7
2016,2016-06-22,73,70,1
2016,2016-06-23,73,70,2
2016,2016-06-24,72,70,3
2016,2016-06-25,68,64,4
2016,2016-06-26,70,68,1
2016,2016-06-27,72,66,5
2016,2016-06-28,70,70,2
2016,2016-06-29,70,66,0
2016,2016-06-30,72,68,2
2016,2016-07-02,70,64,2
2016,2016-07-03,70,64,3
2016,2016-07-04,72,66,3
2016,2016-07-05,72,70,1
2016,2016-07-06,81,75,2
2016,2016-07-07,81,79,2
2016,2016-07-08,79,75,2
2016,2016-07-09,68,66,6
2016,2016-07-10,68,66,2
2016,2016-07-11,70,66,2
2016,2016-07-12,70,70,2
2016,2016-07-13,73,72,5
2016,2016-07-14,75,75,4
2016,2016-07-15,82,79,6
2016,2016-07-16,82,75,5
2016,2016-07-17,77,75,3
2016,2016-07-18,81,77,6
2016,2016-07-19,75,73,3
2016,2016-07-20,73,70,4
2016,2016-07-21,73,72,4
