city,url,date_time,weather_description,temperature
Abidjan,https://www.timeanddate.com/weather/cote-divoire/abidjan,Wed 3:43 am,Passing clouds. Warm.,82 °F
Luanda,https://www.timeanddate.com/weather/angola/luanda,Wed 4:43 am,Passing clouds. Mild.,75 °F
Abu Dhabi,https://www.timeanddate.com/weather/united-arab-emirates/abu-dhabi,Wed 7:43 am,Passing clouds. Hot.,90 °F
Ludhiana,https://www.timeanddate.com/weather/india/ludhiana,Wed 9:13 am,Scattered clouds. Warm.,80 °F
Acapulco,https://www.timeanddate.com/weather/mexico/acapulco,Tue 9:43 pm,Partly cloudy. Warm.,86 °F
Luxembourg,https://www.timeanddate.com/weather/luxembourg/luxembourg,Wed 5:43 am,Overcast. Cool.,52 °F
Accra,https://www.timeanddate.com/weather/ghana/accra,Wed 3:43 am,Clear. Warm.,81 °F
Madison,https://www.timeanddate.com/weather/usa/madison,Tue 10:43 pm,Clear. Refreshingly cool.,59 °F
Adak,https://www.timeanddate.com/weather/usa/adak,Tue 6:43 pm,Overcast. Quite cool.,43 °F
Madrid,https://www.timeanddate.com/weather/spain/madrid,Wed 5:43 am,Passing clouds. Mild.,63 °F
Addis Ababa,https://www.timeanddate.com/weather/ethiopia/addis-ababa,Wed 6:43 am,Passing clouds. Cool.,59 °F
Magadan,https://www.timeanddate.com/weather/russia/magadan,Wed 2:43 pm,Overcast. Cool.,54 °F
Adelaide,https://www.timeanddate.com/weather/australia/adelaide,Wed 1:13 pm,Cool.,56 °F
Majuro,https://www.timeanddate.com/weather/marshall-islands/majuro,Wed 3:43 pm,Cloudy. Hot.,88 °F
Aden,https://www.timeanddate.com/weather/yemen/aden,Wed 6:43 am,Partly sunny. Warm.,88 °F
Makassar,https://www.timeanddate.com/weather/indonesia/makassar,Wed 11:43 am,Passing clouds. Hot.,90 °F
Aguascalientes,https://www.timeanddate.com/weather/mexico/aguascalientes,Tue 9:43 pm,Partly cloudy. Warm.,77 °F
Makkah,https://www.timeanddate.com/weather/saudi-arabia/makkah,Wed 6:43 am,Sunny. Warm.,81 °F
Ahmedgarh,https://www.timeanddate.com/weather/india/ahmedgarh,Wed 9:13 am,Scattered clouds. Warm.,80 °F
Malabo,https://www.timeanddate.com/weather/equatorial-guinea/malabo,Wed 4:43 am,Thunderstorms. Passing clouds. Warm.,79 °F
Albuquerque,https://www.timeanddate.com/weather/usa/albuquerque,Tue 9:43 pm,Passing clouds. Mild.,72 °F
Male,https://www.timeanddate.com/weather/maldives/male,Wed 8:43 am,Passing clouds. Warm.,86 °F
Algiers,https://www.timeanddate.com/weather/algeria/algiers,Wed 4:43 am,Passing clouds. Mild.,76 °F
Manado,https://www.timeanddate.com/weather/indonesia/manado,Wed 11:43 am,Scattered clouds. Warm.,88 °F
Alice Springs,https://www.timeanddate.com/weather/australia/alice-springs,Wed 1:13 pm,Sunny. Mild.,68 °F
Managua,https://www.timeanddate.com/weather/nicaragua/managua,Tue 9:43 pm,Passing clouds. Warm.,84 °F
Almaty,https://www.timeanddate.com/weather/kazakstan/almaty,Wed 8:43 am,Partly sunny. Mild.,75 °F
Manama,https://www.timeanddate.com/weather/bahrain/manama,Wed 6:43 am,Sunny. Hot.,91 °F
Alofi,https://www.timeanddate.com/weather/niue/alofi,Tue 4:43 pm,Partly sunny. Mild.,73 °F
Manaus,https://www.timeanddate.com/weather/brazil/manaus,Tue 11:43 pm,Clear. Warm.,77 °F
Amman,https://www.timeanddate.com/weather/jordan/amman,Wed 6:43 am,Clear. Mild.,68 °F
Manila,https://www.timeanddate.com/weather/philippines/manila,Wed 11:43 am,Overcast. Warm.,79 °F
Amsterdam,https://www.timeanddate.com/weather/netherlands/amsterdam,Wed 5:43 am,Passing clouds. Cool.,57 °F
Manokwari,https://www.timeanddate.com/weather/indonesia/manokwari,Wed 12:43 pm,Light rain. Overcast. Hot.,90 °F
Anadyr,https://www.timeanddate.com/weather/russia/anadyr,Wed 3:43 pm,Scattered clouds. Refreshingly cool.,59 °F
Maputo,https://www.timeanddate.com/weather/mozambique/maputo,Wed 5:43 am,Passing clouds. Mild.,66 °F
Anchorage,https://www.timeanddate.com/weather/usa/anchorage,Tue 7:43 pm,Sunny. Mild.,71 °F
Mary's Harbour,https://www.timeanddate.com/weather/canada/mary-s-harbour,Wed 1:13 am,Quite cool.,45 °F
Ankara,https://www.timeanddate.com/weather/turkey/ankara,Wed 6:43 am,Scattered clouds. Cool.,57 °F
Mazatlan,https://www.timeanddate.com/weather/mexico/mazatlan,Tue 8:43 pm,Clear. Warm.,84 °F
Antananarivo,https://www.timeanddate.com/weather/madagascar/antananarivo,Wed 6:43 am,Passing clouds. Cool.,54 °F
Medina,https://www.timeanddate.com/weather/saudi-arabia/medina,Wed 6:43 am,Sunny. Pleasantly warm.,88 °F
Apia,https://www.timeanddate.com/weather/samoa/apia,Wed 4:43 pm,Partly sunny. Warm.,85 °F
Melbourne,https://www.timeanddate.com/weather/australia/melbourne,Wed 1:43 pm,Mostly cloudy. Cool.,57 °F
Aqtobe,https://www.timeanddate.com/weather/kazakstan/aqtobe,Wed 8:43 am,Passing clouds. Cool.,55 °F
Mexicali,https://www.timeanddate.com/weather/mexico/mexicali,Tue 8:43 pm,Passing clouds. Extremely hot.,96 °F
Ashgabat,https://www.timeanddate.com/weather/turkmenistan/ashgabat,Wed 8:43 am,Passing clouds. Mild.,72 °F
Mexico City,https://www.timeanddate.com/weather/mexico/mexico-city,Tue 9:43 pm,Passing clouds. Mild.,66 °F
Astana,https://www.timeanddate.com/weather/kazakstan/astana,Wed 8:43 am,Sunny. Mild.,73 °F
Miami,https://www.timeanddate.com/weather/usa/miami,Tue 11:43 pm,Partly cloudy. Warm.,78 °F
Asuncion,https://www.timeanddate.com/weather/paraguay/asuncion,Wed 12:43 am,Clear. Mild.,66 °F
Midland,https://www.timeanddate.com/weather/usa/midland,Tue 10:43 pm,Clear. Warm.,83 °F
Athens,https://www.timeanddate.com/weather/greece/athens,Wed 6:43 am,Mild.,72 °F
Midway,https://www.timeanddate.com/weather/usa/midway,Tue 4:43 pm,Passing clouds. Warm.,77 °F
Atlanta,https://www.timeanddate.com/weather/usa/atlanta,Tue 11:43 pm,Clear. Mild.,66 °F
Milan,https://www.timeanddate.com/weather/italy/milan,Wed 5:43 am,Fog. Cool.,59 °F
Auckland,https://www.timeanddate.com/weather/new-zealand/auckland,Wed 3:43 pm,Passing clouds. Mild.,63 °F
Milwaukee,https://www.timeanddate.com/weather/usa/milwaukee,Tue 10:43 pm,Clear. Refreshingly cool.,57 °F
Augusta,https://www.timeanddate.com/weather/usa/augusta,Tue 11:43 pm,Clear. Refreshingly cool.,60 °F
Minneapolis,https://www.timeanddate.com/weather/usa/minneapolis,Tue 10:43 pm,Partly sunny. Pleasantly warm.,82 °F
Austin,https://www.timeanddate.com/weather/usa/austin,Tue 10:43 pm,Passing clouds. Mild.,71 °F
Minsk,https://www.timeanddate.com/weather/belarus/minsk,Wed 6:43 am,Sunny. Cool.,48 °F
Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,Wed 6:43 am,Clear. Pleasantly warm.,84 °F
Monaco,https://www.timeanddate.com/weather/monaco/monaco,Wed 5:43 am,Passing clouds. Mild.,64 °F
Baker Lake,https://www.timeanddate.com/weather/canada/baker-lake,Tue 10:43 pm,Partly sunny. Refreshingly cool.,57 °F
Monrovia,https://www.timeanddate.com/weather/liberia/monrovia,Wed 3:43 am,Passing clouds. Mild.,75 °F
Baku,https://www.timeanddate.com/weather/azerbaijan/baku,Wed 7:43 am,Sunny. Mild.,64 °F
Montevideo,https://www.timeanddate.com/weather/uruguay/montevideo,Wed 12:43 am,Passing clouds. Cool.,52 °F
Balikpapan,https://www.timeanddate.com/weather/indonesia/balikpapan,Wed 11:43 am,Partly sunny. Warm.,87 °F
Montgomery,https://www.timeanddate.com/weather/usa/montgomery,Tue 10:43 pm,Passing clouds. Warm.,78 °F
Baltimore,https://www.timeanddate.com/weather/usa/baltimore,Tue 11:43 pm,Passing clouds. Mild.,63 °F
Montpelier,https://www.timeanddate.com/weather/usa/montpelier,Tue 11:43 pm,Clear. Cool.,53 °F
Bamako,https://www.timeanddate.com/weather/mali/bamako,Wed 3:43 am,Passing clouds. Warm.,86 °F
Montréal,https://www.timeanddate.com/weather/canada/montreal,Tue 11:43 pm,Passing clouds. Mild.,64 °F
Bandar Seri Begawan,https://www.timeanddate.com/weather/brunei/bandar-seri-begawan,Wed 11:43 am,Partly sunny. Warm.,79 °F
Moroni,https://www.timeanddate.com/weather/comoros/moroni,Wed 6:43 am,Passing clouds. Mild.,75 °F
Bangkok,https://www.timeanddate.com/weather/thailand/bangkok,Wed 10:43 am,Passing clouds. Hot.,91 °F
Moscow,https://www.timeanddate.com/weather/russia/moscow,Wed 6:43 am,Clear. Cool.,48 °F
Bangui,https://www.timeanddate.com/weather/central-african-republic/bangui,Wed 4:43 am,Clear. Warm.,79 °F
Mumbai,https://www.timeanddate.com/weather/india/mumbai,Wed 9:13 am,Broken clouds. Warm.,81 °F
Banjul,https://www.timeanddate.com/weather/gambia/banjul,Wed 3:43 am,Passing clouds. Warm.,77 °F
Murmansk,https://www.timeanddate.com/weather/russia/murmansk,Wed 6:43 am,Sunny. Quite cool.,43 °F
Barcelona,https://www.timeanddate.com/weather/spain/barcelona,Wed 5:43 am,Passing clouds. Mild.,70 °F
Muscat,https://www.timeanddate.com/weather/oman/muscat,Wed 7:43 am,Extremely hot.,97 °F
Basse-Terre (Guadeloupe),https://www.timeanddate.com/weather/guadeloupe/basse-terre,Tue 11:43 pm,Clear. Warm.,77 °F
N'Djamena,https://www.timeanddate.com/weather/chad/ndjamena,Wed 4:43 am,Clear. Warm.,88 °F
Basseterre (St. Kitts),https://www.timeanddate.com/weather/saint-kitts-and-nevis/basseterre,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Nagoya,https://www.timeanddate.com/weather/japan/nagoya,Wed 12:43 pm,Partly sunny. Mild.,73 °F
Beijing,https://www.timeanddate.com/weather/china/beijing,Wed 11:43 am,Mild.,74 °F
Nashville,https://www.timeanddate.com/weather/usa/nashville,Tue 10:43 pm,Clear. Mild.,70 °F
Belém,https://www.timeanddate.com/weather/brazil/belem,Wed 12:43 am,Clear. Warm.,79 °F
Nassau,https://www.timeanddate.com/weather/bahamas/nassau,Tue 11:43 pm,Partly cloudy. Warm.,81 °F
Belfast,https://www.timeanddate.com/weather/uk/belfast,Wed 4:43 am,Overcast. Cool.,52 °F
New Delhi,https://www.timeanddate.com/weather/india/new-delhi,Wed 9:13 am,Haze. Hot.,89 °F
Belgrade,https://www.timeanddate.com/weather/serbia/belgrade,Wed 5:43 am,Sunny. Cool.,61 °F
New Orleans,https://www.timeanddate.com/weather/usa/new-orleans,Tue 10:43 pm,Passing clouds. Warm.,80 °F
Belmopan,https://www.timeanddate.com/weather/belize/belmopan,Tue 9:43 pm,Passing clouds. Warm.,83 °F
New York,https://www.timeanddate.com/weather/usa/new-york,Tue 11:43 pm,Clear. Mild.,69 °F
Belushya Guba,https://www.timeanddate.com/weather/russia/belushya-guba,Wed 6:43 am,Partly sunny. Chilly.,32 °F
Newark,https://www.timeanddate.com/weather/usa/newark,Tue 11:43 pm,Partly cloudy. Mild.,73 °F
Bengaluru,https://www.timeanddate.com/weather/india/bengaluru,Wed 9:13 am,Scattered clouds. Mild.,75 °F
Ngerulmud,https://www.timeanddate.com/weather/palau/ngerulmud,Wed 12:43 pm,Overcast. Warm.,86 °F
Berlin,https://www.timeanddate.com/weather/germany/berlin,Wed 5:43 am,Light rain. Clear. Mild.,63 °F
Niamey,https://www.timeanddate.com/weather/niger/niamey,Wed 4:43 am,Clear. Hot.,90 °F
Bern,https://www.timeanddate.com/weather/switzerland/bern,Wed 5:43 am,Light rain. Partly cloudy. Cool.,54 °F
Nicosia,https://www.timeanddate.com/weather/cyprus/nicosia,Wed 6:43 am,Sunny. Cool.,59 °F
Bhubaneshwar,https://www.timeanddate.com/weather/india/bhubaneshwar,Wed 9:13 am,Partly sunny. Warm.,84 °F
Norilsk,https://www.timeanddate.com/weather/russia/norilsk,Wed 10:43 am,Partly sunny. Cool.,47 °F
Billings,https://www.timeanddate.com/weather/usa/billings,Tue 9:43 pm,Partly sunny. Refreshingly cool.,61 °F
Noumea,https://www.timeanddate.com/weather/france/noumea,Wed 2:43 pm,Partly sunny. Warm.,77 °F
Bishkek,https://www.timeanddate.com/weather/kyrgyzstan/bishkek,Wed 9:43 am,Overcast. Mild.,69 °F
Novgorod,https://www.timeanddate.com/weather/russia/novgorod,Wed 6:43 am,Overcast. Cool.,58 °F
Bismarck,https://www.timeanddate.com/weather/usa/bismarck,Tue 10:43 pm,Thundershowers. Partly cloudy. Mild.,72 °F
Novosibirsk,https://www.timeanddate.com/weather/russia/novosibirsk,Wed 10:43 am,Scattered clouds. Mild.,64 °F
Bissau,https://www.timeanddate.com/weather/guinea-bissau/bissau,Wed 3:43 am,Passing clouds. Warm.,79 °F
Nuku'alofa,https://www.timeanddate.com/weather/tonga/nukualofa,Wed 4:43 pm,Passing clouds. Warm.,79 °F
Blanc-Sablon,https://www.timeanddate.com/weather/canada/blanc-sablon,Tue 11:43 pm,Overcast. Chilly.,40 °F
Nusantara,https://www.timeanddate.com/weather/indonesia/nusantara,Wed 11:43 am,Passing clouds. Warm.,86 °F
Bogota,https://www.timeanddate.com/weather/colombia/bogota,Tue 10:43 pm,Scattered showers. Mostly cloudy. Cool.,57 °F
Nuuk,https://www.timeanddate.com/weather/greenland/nuuk,Wed 2:43 am,Mostly cloudy. Chilly.,36 °F
Boise,https://www.timeanddate.com/weather/usa/boise,Tue 9:43 pm,Sunny. Pleasantly warm.,77 °F
Oklahoma City,https://www.timeanddate.com/weather/usa/oklahoma-city,Tue 10:43 pm,Passing clouds. Mild.,75 °F
Boston,https://www.timeanddate.com/weather/usa/boston,Tue 11:43 pm,Passing clouds. Cool.,62 °F
Omsk,https://www.timeanddate.com/weather/russia/omsk,Wed 9:43 am,Passing clouds. Cool.,57 °F
Brasilia,https://www.timeanddate.com/weather/brazil/brasilia,Wed 12:43 am,Clear. Mild.,63 °F
Oral,https://www.timeanddate.com/weather/kazakhstan/oral,Wed 8:43 am,Sunny. Cool.,54 °F
Bratislava,https://www.timeanddate.com/weather/slovakia/bratislava,Wed 5:43 am,Passing clouds. Cool.,61 °F
